system,LinguaPy,,,,,,,metricx_qe_score,,,,,,,QEMetricX_24-Strict-linguapy,,,,,,,xcomet_qe_score,,,,,,,XCOMET-QE-Strict-linguapy,,,,,,
,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh,en-de,en-es,en-fr,en-it,en-nl,en-pt,en-zh
whisper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seamlessm4t,9.549071618037134,6.970509383378016,4.370860927152318,12.582781456953644,15.364238410596027,12.847682119205297,3.9735099337748347,2.4307972022705275,2.9558651243503786,3.3718862178901965,3.315112180287475,3.346542272450316,3.6617383587587353,2.8656262525116767,4.289923358822256,4.346950062313404,4.237783080911794,5.6891695931701864,6.237123792426081,6.154660573202055,3.5469544641722908,0.9334314489238142,0.8897718347748866,0.8379620332887631,0.8528662557929557,0.9218252113964779,0.8806686380545035,0.8381458115696118,0.8456518916852911,0.8354006491941037,0.8063387551351099,0.7536625059432541,0.7844484296855547,0.7762194596773742,0.8024447933135443
canary-v2,5.172413793103448,8.847184986595174,5.960264900662252,7.9470198675496695,9.13907284768212,8.47682119205298,100.0,1.5261732394700815,2.3254924866373354,2.5941789653620972,2.5214718369902758,2.252042633156903,2.4578524669422612,14.982782839386669,2.6951631751178273,4.356772627691481,3.9256011814175062,4.25602266384375,4.271120391697283,4.345465731793484,25.0,0.9541070522142658,0.9181488492693403,0.8738299089157029,0.8771376308127744,0.9393606249662425,0.9213704959446232,0.9640615469967293,0.9053227658376137,0.83910304120175,0.8240749527089644,0.8145336053920108,0.857230575708364,0.8468168014327422,0.0
owsm4.0-ctc,4.111405835543767,20.777479892761395,13.90728476821192,18.41059602649007,18.41059602649007,21.324503311258276,1.3245033112582782,3.273910214590892,6.958710305163033,7.808505823241164,7.69467698342062,7.618238747810686,8.369769874994724,3.1886252727630913,4.121327369807372,10.707212163150391,10.296423092070004,10.92821609463222,10.910905897933127,11.803959710782529,3.4584844426504824,0.8970365199193714,0.7085472638082089,0.5892488976582786,0.633325943567895,0.7331718103676442,0.6608537773521531,0.8102243288660681,0.8638362248158897,0.5768951522860546,0.5146666071864943,0.529902705431774,0.6115606638572074,0.541234254491645,0.8008439996187261
aya_whisper,3.050397877984085,7.506702412868632,4.23841059602649,5.827814569536424,8.874172185430464,6.754966887417218,0.6622516556291391,1.060114673889719,1.7516655616971586,2.036599392685669,1.953534878681827,1.7927582576722894,2.030971830589882,1.2998685343178693,1.767082375753424,3.4916128286537553,2.9816418774080593,3.2728303388254534,3.774461015146102,3.5559388085508976,1.4491611159992535,0.9650564491551181,0.93220226051181,0.8930348205053253,0.9066615879535675,0.9494078919488863,0.9240754516018147,0.9130627073989009,0.9379832779776196,0.8692233749033619,0.858102678956575,0.857979841342825,0.86994856960134,0.8654016330838203,0.9077510847161148
gemma_whisper,3.580901856763926,8.713136729222521,5.827814569536424,7.152317880794702,8.741721854304636,7.9470198675496695,0.7947019867549668,1.0945359520930351,1.829935897940685,2.1269727281880693,2.0164197024130663,1.88805727871838,2.1854542690397096,1.3930461039754334,1.9222474160161986,3.8583821053179754,3.4539205351511373,3.613952375228042,3.892181302873504,3.918413354624186,1.5708325026593857,0.9609462524756829,0.9267972961227952,0.8797608081966836,0.884325145658673,0.9507065035452117,0.9219908994949416,0.9100998828545311,0.929416979971868,0.8520887761748828,0.831108174033907,0.8278527840083798,0.8720602517885878,0.8541268672177333,0.9039585940095762
tower_whisper,3.978779840848806,8.445040214477212,6.622516556291391,7.0198675496688745,9.668874172185431,7.9470198675496695,0.7947019867549668,1.00455025417498,1.744822289994431,2.163708960723798,1.9052553601513635,1.6975255664413338,2.1712602443845066,1.266199924683334,1.9274872015045081,3.7042246298619794,3.694337644906628,3.4887980488702555,3.900377903888557,3.9308311187865717,1.453183708354732,0.9670041296976947,0.9355868568329325,0.8860431253219282,0.9004509497853305,0.9516909635816978,0.9343081472725269,0.9133085872558568,0.9313982453207122,0.8622591486725028,0.8322574720082694,0.8412001498191561,0.8646855204310638,0.865008767018255,0.9068928546266051
aya_seamlessm4t,2.122015915119363,6.434316353887399,3.443708609271523,5.430463576158941,7.417218543046358,5.1655629139072845,1.0596026490066226,1.313659680789875,2.3736973002393187,2.5348749856927144,2.526430578406481,2.329698993699835,2.654886523130911,1.5713187780206566,1.7896806439360116,3.8002692611823132,3.2795715875035483,3.694115427259775,3.957544751110061,3.7503529445077013,1.8037435762534868,0.9477842041743371,0.8835261650283599,0.8265106264921214,0.8530460845654374,0.9276397790537765,0.8779931174504836,0.875827037251943,0.9288885187584937,0.8321560861957297,0.8014739614744849,0.8151828707843427,0.8634215415313544,0.8368421501769925,0.8687528505526632
gemma_seamlessm4t,2.122015915119363,8.176943699731904,5.430463576158941,6.490066225165562,7.417218543046358,7.0198675496688745,0.26490066225165565,1.3820143298391718,2.30626867753491,2.5826372281654386,2.5867202758591694,2.5706372908557094,2.8050315091201408,1.6024173960977832,1.843608040654098,4.128030841336174,3.7529559212064507,3.9445731265507393,4.152236483522401,4.234979760414914,1.6555068110985471,0.9445267774421593,0.889432383546401,0.8396624004011912,0.8431244941539322,0.9194054991105535,0.8826674578600372,0.8934692153768824,0.9281172311472008,0.8246552122022767,0.7994500945538086,0.7971510200607066,0.8578374297709654,0.8302284320261305,0.891230701364034
tower_seamlessm4t,2.9177718832891246,7.104557640750671,5.298013245033113,6.887417218543046,8.609271523178808,6.622516556291391,0.7947019867549668,1.3798777681110868,2.3969077500926663,2.782111104395216,2.721455826995191,2.5762765599205006,3.001963283220269,1.6592786007418932,2.002880992076362,3.951447526692106,3.922862538872965,4.164419801325987,4.411464661497943,4.377987412792563,1.8175626011923054,0.9431141616692593,0.8952800703931589,0.8235664649613645,0.8406557775392438,0.9149328253817874,0.878046362852024,0.889453388188059,0.9171225704667739,0.8387200652094853,0.7848621537353819,0.7899944034337208,0.8420501688951688,0.8269057886588652,0.8825033319509582
aya_canary-v2,3.3156498673740056,7.908847184986595,4.503311258278146,5.827814569536424,8.741721854304636,6.622516556291391,0.3973509933774834,1.0722590071403617,1.7424107551844366,2.0463631178172217,1.985522100072823,1.8111413823107616,2.0646078518980384,1.3960937232963297,1.8174544864875173,3.572280159240074,3.054421635672746,3.3078415713760236,3.7701979245423085,3.5330602433803855,1.4751849067724303,0.9664530248161336,0.9346270161323829,0.8945809983457161,0.9072878085619567,0.9519566529535299,0.9247906656059998,0.9104211678568102,0.9365147008148049,0.8659298393385979,0.8562893042106502,0.8591305036813218,0.872673171176421,0.8692118044621897,0.9079297589742584
gemma_canary-v2,3.7135278514588856,8.713136729222521,5.960264900662252,7.28476821192053,8.609271523178808,8.344370860927153,0.6622516556291391,1.1153230908912277,1.8350097791269302,2.0885431148062477,2.035201433024659,1.930131737567139,2.3263244594564503,1.4160032290299207,1.9546541624482652,3.854405337015801,3.4148450699172272,3.645440381375567,3.8433243788088,4.127205328870294,1.5746106120332188,0.9606663742021161,0.9265859982563088,0.8845709664142685,0.8793257517826478,0.9490920262916989,0.9178278562248937,0.9060238916747617,0.9288622133769787,0.8499819718241372,0.8367196992730462,0.8217431417561525,0.8735889958427442,0.8504708442269572,0.8997831646575044
tower_canary-v2,3.978779840848806,8.579088471849866,6.622516556291391,7.682119205298013,9.536423841059603,8.079470198675496,0.5298013245033113,1.0537157777489339,1.773011980808013,2.2195413758719202,2.015003748030852,1.7499545465834094,2.2235393509318104,1.2951680793174056,1.9591622985010122,3.752132077444215,3.741356775056053,3.7187351755797864,3.907738015075393,3.973570840894584,1.4253922579995055,0.966380863966771,0.9356352698866868,0.8863908697635132,0.8972400405055639,0.9532896898637544,0.9326652379422787,0.9152027199205184,0.9307925267545235,0.8605369578737356,0.8309393749726529,0.8371736768953848,0.8675905999758385,0.8634680111281919,0.910207649848319
aya_owsm4.0-ctc,3.3156498673740056,7.104557640750671,3.9735099337748347,5.827814569536424,8.079470198675496,5.827814569536424,1.0596026490066226,1.2284667850015019,2.0918288899101216,2.222985772216162,2.2237539425788335,2.0683982668728227,2.3286378235907743,1.495920899520252,1.9762605116047973,3.7131482529586264,3.098400409638092,3.519328178080502,3.8193713689087243,3.6290850128460406,1.726751579817952,0.9566236549607955,0.9158803046089234,0.878585384105215,0.8959031442735369,0.9394485235411599,0.9116620510421841,0.8953743024772366,0.9288616211842795,0.8560480543439734,0.8443618832439777,0.8474586129089854,0.869908141695111,0.8610085585654177,0.8889218402027295
gemma_owsm4.0-ctc,3.7135278514588856,8.981233243967829,5.298013245033113,6.887417218543046,8.344370860927153,8.211920529801324,0.6622516556291391,1.2934667358634406,2.0474192431201566,2.3587793780281054,2.3621847908919222,2.1796838174691264,2.4528433930400193,1.5430151270221402,2.126459576490901,4.099298462251715,3.4918025880657284,3.886187430140593,4.037986495271818,4.268162121895133,1.6971788597324036,0.9541827731565709,0.9108418641517053,0.8708857241055823,0.8690796726685486,0.941483288845479,0.9085350847500839,0.9038894275363707,0.922507726347731,0.8360894516549865,0.8282957186564704,0.8170901992759168,0.8663461922612411,0.8400240847409166,0.8987799018818811
tower_owsm4.0-ctc,3.183023872679045,7.908847184986595,5.298013245033113,7.152317880794702,8.874172185430464,7.417218543046358,0.5298013245033113,1.2220187068766166,2.0615694562457603,2.3874135854228444,2.2076266470433072,1.952241478880115,2.4129445693054734,1.3969231462093774,1.9327641197033127,3.8186023782878795,3.571490980497259,3.7964182551284105,3.9488472933504757,4.061541212917558,1.521990597549061,0.9582063935953995,0.9206762669193521,0.8706401380778148,0.8806918113239554,0.9418237566355838,0.9195969512328407,0.9063482954210004,0.9316804823650922,0.8559836134234639,0.8282881849846303,0.825326090873472,0.8639088457585961,0.855903147565608,0.9011738862620284
desta2-8b,4.774535809018567,8.445040214477212,7.682119205298013,6.887417218543046,9.668874172185431,8.344370860927153,53.50993377483444,2.039730904727621,3.028587144807021,3.277860780800415,3.459040406301914,3.2782378723635186,3.67678347180616,6.5631412043082005,3.0817355579778116,4.856261619743729,4.883005066206124,4.884591195613935,5.366811409883744,5.40668971607622,14.747614130950131,0.8941829693787768,0.8204143442732879,0.6771111104760739,0.7276123703512924,0.8663034042873919,0.7987075381721093,0.4711769894949648,0.8599032660555934,0.7614430654144798,0.6298894732401071,0.6806765058380089,0.7898389083265469,0.7354509389854424,0.3593855316078426
qwen2audio-7b,8.885941644562333,11.93029490616622,10.993377483443709,11.788079470198676,11.52317880794702,12.980132450331125,2.384105960264901,2.9500906585965216,4.269897061202865,4.394045916495734,4.582011088072662,4.743598513122623,4.28234462920601,2.30006780572581,4.536053381242668,6.443362319117896,6.366084747638134,6.563354083338123,6.925503128929841,6.655754266166134,2.6820661904944094,0.8994083824401983,0.8062687145680908,0.7813097015023232,0.76762828012768,0.8314375512449946,0.8537140514479568,0.8516750431810783,0.8229957866613365,0.7085272285378171,0.6963759934961401,0.685345608400588,0.7388373656778147,0.7466781837557326,0.8331064429898926
phi4multimodal,56.10079575596817,56.434316353887404,88.47682119205298,43.443708609271525,72.18543046357617,62.51655629139072,50.86092715231788,9.23851041066947,9.341428372649421,14.185944610834122,7.712634619942169,11.550410713048171,10.16755641483708,8.366227676290155,14.786484426920072,15.209281948062992,22.550953000941814,12.600735126435756,19.250127786457146,17.087169332437167,13.654212128454882,0.9675412312426681,0.9469134828360407,0.9600152129270383,0.9207849815783912,0.9442311808170861,0.9342374275062257,0.9318832545090985,0.4192777717935628,0.401166661814774,0.09543790413646508,0.5047167932355641,0.24490105788044583,0.3315117797512092,0.4374518303681683
voxtral-small-24b,3.978779840848806,9.785522788203753,6.490066225165562,8.211920529801324,9.006622516556291,6.754966887417218,0.9271523178807948,1.1271087006524956,1.8464906477936152,2.1417127162810194,1.9559700306085561,1.9278854490856066,2.191202995649829,1.3777966452996857,2.0438942009439836,4.107406299131805,3.605960951933008,3.7617618972694635,3.911622220825478,3.6834569185133406,1.596136205603942,0.9629104412914271,0.9207158138820697,0.8880054923280185,0.8834555770585079,0.9498265607664916,0.9260555905814203,0.9074026849096185,0.9274243509856396,0.8377015242308139,0.8379185633351471,0.82391002947921,0.8692082266539138,0.8678655690507383,0.8996312148721013
spirelm,5.968169761273209,8.445040214477212,5.827814569536424,7.682119205298013,10.993377483443709,7.152317880794702,0.13245033112582782,2.6001885182938147,4.116603006771079,4.1459017407025724,4.22279148055919,3.6261514767362977,4.675579806959984,2.931561479653349,3.8316215354385994,5.794084846239347,5.2582460043446115,5.555980494731902,5.788894484103318,6.059701807466366,2.956538328735639,0.8973315260928885,0.8199048738317419,0.7630162891271888,0.7818319221206059,0.8681389822569114,0.8283577586838741,0.7710622041332011,0.8537823310225648,0.7617073150766119,0.7246839238515753,0.7381920691949643,0.7849187830524729,0.7751489687439622,0.7704829128274066
